,user,true_avg,true_std,false_avg,false_std
0,7,0.8869671476317896,0.14635480817264865,0.428015873015873,0.10541252964617209
1,8,0.8613351297919514,0.1671649721132021,0.321,0.09643927657795082
2,10,0.8790486296085862,0.15213476971167864,0.412,0.1290128957016805
3,11,0.8851240976896776,0.14979029639982563,0.3838095238095238,0.09286070029007919
4,13,0.893640090466179,0.1506279613276322,0.36793650793650795,0.10133003190287836
5,14,0.8768947044199502,0.1629732508213379,0.33753968253968253,0.11783257696590929
6,16,0.8832731160464999,0.15191719707934503,0.35141269841269845,0.057600175403211044
7,17,0.8747452263305723,0.1614015333238266,0.351935064935065,0.11848325021307837
8,18,0.8902334517985787,0.14765677863307347,0.28123809523809523,0.059777789118829416
9,20,0.8321272679910299,0.18736974168573572,0.3558823529411764,0.1451158664558606
10,21,0.8684714472364331,0.15418908841829718,0.38105158730158734,0.12235390646327449
11,22,0.8547114571329818,0.16808541725832196,0.3101904761904762,0.0991052446585422
12,23,0.8144916357791511,0.1869928400097067,0.3664027777777778,0.12734305859719866
13,24,0.8426294112830591,0.16797276226192281,0.33552380952380956,0.08744547664788176
14,25,0.8384552974371108,0.16048998164792727,0.3819047619047619,0.0816509977228486
15,26,0.8722376810346595,0.15843628570725787,0.35274521531100483,0.11060337532796234
16,27,0.8832456133696042,0.1487048595861534,0.3321414141414141,0.1025680407079091
17,9,0.8953793064751431,0.15890935025513983,0.3223015873015873,0.08940901792603609
18,15,0.8677153733320198,0.16658848347793198,0.32121212121212117,0.08738133038591858
19,19,0.871822591309106,0.16714036789682962,0.34450000000000003,0.11295790324617146
