user,task,record_count
7,1,3036252
8,1,979700
10,1,1989776
11,1,1705375
13,1,1407642
14,1,2256297
16,1,1639947
17,1,1757040
18,1,1528109
20,1,1083617
21,1,1619941
22,1,1189845
23,1,1050203
24,1,1308369
25,1,1691455
26,1,1083188
27,1,2301103
7,2,1728199
8,2,2049429
9,2,892833
10,2,1671488
11,2,2383489
13,2,3386240
14,2,2391703
15,2,3855309
16,2,2302474
17,2,1626597
18,2,4082090
19,2,2068897
20,2,1052754
21,2,1394672
22,2,1515220
23,2,1116422
24,2,1329328
25,2,1120115
26,2,1703248
27,2,2048523
7,3,2103669
8,3,2093672
9,3,1507078
10,3,2150479
11,3,2804970
13,3,3616624
15,3,1730636
16,3,1505734
17,3,1989861
18,3,1583060
19,3,1679106
21,3,1609224
22,3,2025607
23,3,1411927
24,3,1663134
25,3,1340324
26,3,1317810
27,3,3533075
