user,avg,std,count
7,2289373.3333333335,549918.3195507816,3
8,1707600.3333333333,515020.08518266113,3
10,1937247.6666666667,199043.56955590288,3
11,2297944.6666666665,452964.8004943529,3
13,2803502.0,991493.1674210704,3
14,2324000.0,67703.0,2
16,1816051.6666666667,348289.436260833,3
17,1791166.0,150252.27969651576,3
18,2397753.0,1191217.3745870232,3
20,1068185.5,15431.5,2
21,1541279.0,103759.08910869768,3
22,1576890.6666666667,343973.8202308749,3
23,1192850.6666666667,157251.53705731744,3
24,1433610.3333333333,162523.1369996968,3
25,1383964.6666666667,235281.00892384455,3
26,1368082.0,255622.19046606,3
27,2627567.0,648540.7813689642,3
9,1199955.5,307122.5,2
15,2792972.5,1062336.5,2
19,1874001.5,194895.5,2
