threshold,lookback,delay
0.25,5,28.93243243243243
0.256,5,27.81935483870968
0.262,5,29.902439024390244
0.269,5,30.017241379310345
0.275,5,28.48314606741573
0.281,5,28.391534391534393
0.287,5,27.95876288659794
0.294,5,25.33502538071066
0.3,5,23.083333333333332
0.306,5,20.778846153846153
0.312,5,18.373205741626794
0.319,5,16.13809523809524
0.325,5,15.377358490566039
0.331,5,14.349056603773585
0.337,5,13.267605633802816
0.344,5,12.915492957746478
0.35,5,12.294392523364486
0.356,5,10.883177570093459
0.362,5,10.294392523364486
0.369,5,9.47196261682243
0.375,5,8.878504672897197
0.381,5,8.462616822429906
0.387,5,8.261682242990654
0.394,5,7.738317757009346
0.4,5,7.299065420560748
0.406,5,7.014018691588785
0.412,5,6.668224299065421
0.419,5,6.4392523364485985
0.425,5,6.135514018691588
0.431,5,5.864485981308412
0.437,5,5.434579439252336
0.444,5,5.257009345794392
0.45,5,5.074766355140187
0.456,5,4.864485981308412
0.462,5,4.682242990654205
0.469,5,4.588785046728972
0.475,5,4.481308411214953
0.481,5,4.093457943925234
0.487,5,4.018691588785047
0.494,5,3.9205607476635516
0.25,10,43.92783505154639
0.256,10,42.22935779816514
0.262,10,40.85950413223141
0.269,10,35.704
0.275,10,37.32857142857143
0.281,10,36.4
0.287,10,34.48701298701299
0.294,10,36.4311377245509
0.3,10,32.77325581395349
0.306,10,28.463276836158194
0.312,10,28.01081081081081
0.319,10,26.98952879581152
0.325,10,27.035714285714285
0.331,10,26.331658291457288
0.337,10,24.308823529411764
0.344,10,22.966507177033492
0.35,10,21.45754716981132
0.356,10,19.96698113207547
0.362,10,19.483568075117372
0.369,10,18.014084507042252
0.375,10,16.752336448598133
0.381,10,15.719626168224298
0.387,10,14.962616822429906
0.394,10,14.383177570093459
0.4,10,13.52803738317757
0.406,10,12.42056074766355
0.412,10,11.822429906542055
0.419,10,11.289719626168225
0.425,10,11.046728971962617
0.431,10,10.546728971962617
0.437,10,10.149532710280374
0.444,10,9.401869158878505
0.45,10,8.962616822429906
0.456,10,8.574766355140186
0.462,10,8.313084112149532
0.469,10,7.9953271028037385
0.475,10,7.738317757009346
0.481,10,7.52803738317757
0.487,10,7.261682242990654
0.494,10,6.957943925233645
0.25,20,54.65217391304348
0.256,20,49.57627118644068
0.262,20,50.763888888888886
0.269,20,49.172413793103445
0.275,20,47.95789473684211
0.281,20,48.981651376146786
0.287,20,46.356521739130436
0.294,20,46.19230769230769
0.3,20,44.56521739130435
0.306,20,44.66891891891892
0.312,20,43.40522875816993
0.319,20,40.79113924050633
0.325,20,38.89940828402367
0.331,20,36.12068965517241
0.337,20,34.41573033707865
0.344,20,32.91935483870968
0.35,20,32.047120418848166
0.356,20,30.912371134020617
0.362,20,30.38118811881188
0.369,20,29.740384615384617
0.375,20,28.53846153846154
0.381,20,28.061611374407583
0.387,20,27.232227488151658
0.394,20,26.161137440758292
0.4,20,25.35211267605634
0.406,20,24.065727699530516
0.412,20,23.523364485981308
0.419,20,22.093457943925234
0.425,20,20.934579439252335
0.431,20,19.30841121495327
0.437,20,18.69626168224299
0.444,20,18.074766355140188
0.45,20,17.30841121495327
0.456,20,16.38317757009346
0.462,20,15.13551401869159
0.469,20,14.532710280373832
0.475,20,13.855140186915888
0.481,20,13.271028037383177
0.487,20,12.700934579439252
0.494,20,11.967289719626168
0.25,40,66.44444444444444
0.256,40,66.5
0.262,40,62.88235294117647
0.269,40,58.38297872340426
0.275,40,59.2
0.281,40,60.714285714285715
0.287,40,59.46341463414634
0.294,40,56.76923076923077
0.3,40,56.11224489795919
0.306,40,56.783018867924525
0.312,40,56.33620689655172
0.319,40,56.2093023255814
0.325,40,54.839416058394164
0.331,40,55.88356164383562
0.337,40,56.24342105263158
0.344,40,54.17610062893082
0.35,40,51.03703703703704
0.356,40,49.873493975903614
0.362,40,46.49418604651163
0.369,40,45.28977272727273
0.375,40,44.14835164835165
0.381,40,45.65608465608466
0.387,40,45.03092783505155
0.394,40,44.42
0.4,40,43.23039215686274
0.406,40,41.39523809523809
0.412,40,40.660377358490564
0.419,40,38.16981132075472
0.425,40,37.460093896713616
0.431,40,36.191588785046726
0.437,40,34.73831775700935
0.444,40,32.39719626168224
0.45,40,31.19626168224299
0.456,40,30.02803738317757
0.462,40,29.03271028037383
0.469,40,27.747663551401867
0.475,40,26.621495327102803
0.481,40,25.58411214953271
0.487,40,24.457943925233646
0.494,40,23.46728971962617
