number_of_users,segment_interval,avg,std
3,1,0.7864409047852258,0.022295165817453888
3,4,0.8060659189793317,0.02277681278509166
3,8,0.8132135527312734,0.016486342686904566
3,32,0.8323496783081034,0.01573251134824144
3,128,0.7923404739870324,0.03423125980739684
7,1,0.639670698917957,0.02058806836889909
7,4,0.6828645413489944,0.025920785054427072
7,8,0.697712709605411,0.03389485030078524
7,32,0.7183891045566035,0.039019326912272
7,128,0.7242964141767159,0.051805938478855125
11,1,0.5485511608985423,0.014760320039819624
11,4,0.6186061745615742,0.03186805527407411
11,8,0.6255796726486802,0.037859265578477116
11,32,0.6537365181769824,0.05124103367009296
11,128,0.6613615523827391,0.05598003694966872
15,1,0.5065494385469682,0.021037068074726432
15,4,0.5716678792287292,0.038144063779001966
15,8,0.5866702249268113,0.04851857326557942
15,32,0.6138920766540931,0.05966220189739019
15,128,0.6136448251338775,0.06257888770853383
